image,label
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record002/Camera 5/171206_054231851_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record002/Camera 5/171206_054231851_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record005/Camera 5/171206_054741303_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record005/Camera 5/171206_054741303_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 6/170927_063832884_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 6/170927_063832884_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record005/Camera 5/171206_054743760_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record005/Camera 5/171206_054743760_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record009/Camera 6/171206_055325936_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record009/Camera 6/171206_055325936_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 5/170927_065842224_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 5/170927_065842224_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record006/Camera 5/170927_064444556_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record006/Camera 5/170927_064444556_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record009/Camera 5/171206_055315476_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record009/Camera 5/171206_055315476_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record005/Camera 5/171206_054716231_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record005/Camera 5/171206_054716231_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record002/Camera 6/171206_054241427_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record002/Camera 6/171206_054241427_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record009/Camera 5/171206_055327634_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record009/Camera 5/171206_055327634_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record005/Camera 6/171206_054712598_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record005/Camera 6/171206_054712598_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record009/Camera 5/171206_055343077_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record009/Camera 5/171206_055343077_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 5/170927_063837254_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 5/170927_063837254_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 6/170927_065803889_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 6/170927_065803889_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record002/Camera 5/171206_054301270_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record002/Camera 5/171206_054301270_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record005/Camera 5/171206_054709668_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record005/Camera 5/171206_054709668_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record006/Camera 6/170927_064453641_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record006/Camera 6/170927_064453641_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record006/Camera 6/170927_064457454_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record006/Camera 6/170927_064457454_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record006/Camera 6/170927_064502865_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record006/Camera 6/170927_064502865_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record009/Camera 6/171206_055354488_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record009/Camera 6/171206_055354488_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record009/Camera 5/171206_055329974_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record009/Camera 5/171206_055329974_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record002/Camera 6/171206_054239491_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record002/Camera 6/171206_054239491_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record005/Camera 6/171206_054733581_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record005/Camera 6/171206_054733581_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record005/Camera 6/171206_054713331_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record005/Camera 6/171206_054713331_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record002/Camera 5/171206_054307199_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record002/Camera 5/171206_054307199_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 5/170927_065843300_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 5/170927_065843300_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record009/Camera 5/171206_055352320_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record009/Camera 5/171206_055352320_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 6/170927_065817385_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 6/170927_065817385_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record002/Camera 6/171206_054302238_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record002/Camera 6/171206_054302238_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 6/170927_065817945_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 6/170927_065817945_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 5/170927_065812345_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 5/170927_065812345_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 6/170927_065824805_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 6/170927_065824805_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record009/Camera 5/171206_055318538_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record009/Camera 5/171206_055318538_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 5/170927_065836564_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 5/170927_065836564_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record005/Camera 6/171206_054751936_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record005/Camera 6/171206_054751936_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 5/170927_065815565_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 5/170927_065815565_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record005/Camera 6/171206_054717447_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record005/Camera 6/171206_054717447_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record006/Camera 5/170927_064441616_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record006/Camera 5/170927_064441616_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record005/Camera 5/171206_054741888_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record005/Camera 5/171206_054741888_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record009/Camera 6/171206_055313667_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record009/Camera 6/171206_055313667_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record009/Camera 6/171206_055324977_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record009/Camera 6/171206_055324977_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record006/Camera 6/170927_064451141_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record006/Camera 6/170927_064451141_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record006/Camera 5/170927_064453641_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record006/Camera 5/170927_064453641_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record006/Camera 6/170927_064504956_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record006/Camera 6/170927_064504956_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record002/Camera 6/171206_054328451_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record002/Camera 6/171206_054328451_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record005/Camera 6/171206_054719228_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record005/Camera 6/171206_054719228_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 6/170927_065817805_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 6/170927_065817805_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record002/Camera 6/171206_054325823_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record002/Camera 6/171206_054325823_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record002/Camera 6/171206_054245904_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record002/Camera 6/171206_054245904_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 6/170927_065824665_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 6/170927_065824665_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record002/Camera 6/171206_054231851_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record002/Camera 6/171206_054231851_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record005/Camera 6/171206_054718406_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record005/Camera 6/171206_054718406_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record009/Camera 5/171206_055334653_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record009/Camera 5/171206_055334653_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record005/Camera 6/171206_054742824_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record005/Camera 6/171206_054742824_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 6/170927_065818365_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 6/170927_065818365_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 5/170927_063828936_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 5/170927_063828936_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record009/Camera 6/171206_055340152_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record009/Camera 6/171206_055340152_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 5/170927_065811002_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 5/170927_065811002_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record009/Camera 6/171206_055353393_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record009/Camera 6/171206_055353393_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 5/170927_065838664_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 5/170927_065838664_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 5/170927_065824385_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 5/170927_065824385_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record009/Camera 6/171206_055326347_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record009/Camera 6/171206_055326347_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record002/Camera 5/171206_054259092_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record002/Camera 5/171206_054259092_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record006/Camera 6/170927_064512090_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record006/Camera 6/170927_064512090_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 6/170927_063843740_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 6/170927_063843740_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 5/170927_063848719_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 5/170927_063848719_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 6/170927_065812825_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 6/170927_065812825_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 5/170927_065812665_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 5/170927_065812665_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record005/Camera 6/171206_054730188_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record005/Camera 6/171206_054730188_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 6/170927_065828584_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 6/170927_065828584_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road04/Record002/Camera 6/171206_054308288_Camera_6.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road04/Label/Record002/Camera 6/171206_054308288_Camera_6_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 5/170927_065815425_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 5/170927_065815425_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 5/170927_065822705_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 5/170927_065822705_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record006/Camera 5/170927_064443924_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record006/Camera 5/170927_064443924_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record016/Camera 5/170927_065818645_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record016/Camera 5/170927_065818645_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 5/170927_063837818_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 5/170927_063837818_Camera_5_bin.png
